,Data,Intervalo,Vazao
372, 26-3-2023,00:00:00 a 06:00:00,909588661.0
373, 26-3-2023,06:00:00 a 12:00:00,762678687.5
374, 26-3-2023,12:00:00 a 18:00:00,766980429.5
375, 26-3-2023,18:00:00 a 23:59:59,918774643.0
376, 27-3-2023,00:00:00 a 06:00:00,915512758.0
377, 27-3-2023,06:00:00 a 12:00:00,585142748.25
378, 27-3-2023,12:00:00 a 18:00:00,912762525.5
379, 27-3-2023,18:00:00 a 23:59:59,928569308.0
380, 28-3-2023,00:00:00 a 06:00:00,919603634.0
381, 28-3-2023,06:00:00 a 12:00:00,612741370.5833334
382, 28-3-2023,12:00:00 a 18:00:00,382310791.5
383, 28-3-2023,18:00:00 a 23:59:59,920865520.0
384, 29-3-2023,00:00:00 a 06:00:00,919077047.0
385, 29-3-2023,06:00:00 a 12:00:00,328310015.0
386, 29-3-2023,12:00:00 a 18:00:00,907123415.0
387, 29-3-2023,18:00:00 a 23:59:59,576281131.25
388, 30-3-2023,00:00:00 a 06:00:00,645923784.0
389, 30-3-2023,06:00:00 a 12:00:00,466739043.1666667
390, 30-3-2023,12:00:00 a 18:00:00,11953738.0
391, 30-3-2023,18:00:00 a 23:59:59,260833489.0
392, 31-3-2023,00:00:00 a 06:00:00,109646253.0
393, 31-3-2023,06:00:00 a 12:00:00,109646253.0
394, 31-3-2023,12:00:00 a 18:00:00,918291396.0
395, 31-3-2023,18:00:00 a 23:59:59,917568999.0
396, 1-4-2023,00:00:00 a 06:00:00,915612397.0
397, 1-4-2023,06:00:00 a 12:00:00,458578798.1666667
398, 1-4-2023,12:00:00 a 18:00:00,458578798.1666667
399, 1-4-2023,18:00:00 a 23:59:59,921121738.5
400, 2-4-2023,00:00:00 a 06:00:00,919287222.0
401, 2-4-2023,06:00:00 a 12:00:00,459336892.4166667
402, 2-4-2023,12:00:00 a 18:00:00,306734826.0833333
403, 2-4-2023,18:00:00 a 23:59:59,306734826.0833333
404, 3-4-2023,00:00:00 a 06:00:00,306734826.0833333
405, 3-4-2023,06:00:00 a 12:00:00,153214536.16666666
406, 3-4-2023,12:00:00 a 18:00:00,809818565.0
407, 3-4-2023,18:00:00 a 23:59:59,922696112.0
408, 4-4-2023,00:00:00 a 06:00:00,919315298.5
409, 4-4-2023,06:00:00 a 12:00:00,441971662.0833333
410, 4-4-2023,12:00:00 a 18:00:00,441971662.0833333
411, 4-4-2023,18:00:00 a 23:59:59,441971662.0833333
412, 5-4-2023,00:00:00 a 06:00:00,307001901.0833333
413, 5-4-2023,06:00:00 a 12:00:00,153219215.58333334
414, 5-4-2023,12:00:00 a 18:00:00,490533737.0
415, 5-4-2023,18:00:00 a 23:59:59,913574123.0
416, 6-4-2023,00:00:00 a 06:00:00,234017976.0
417, 6-4-2023,06:00:00 a 12:00:00,234017976.0
418, 6-4-2023,12:00:00 a 18:00:00,915828384.0
419, 6-4-2023,18:00:00 a 23:59:59,918975498.0
420, 7-4-2023,00:00:00 a 06:00:00,458063000.3333333
421, 7-4-2023,06:00:00 a 12:00:00,305800646.3333333
422, 7-4-2023,12:00:00 a 18:00:00,916826367.0
423, 7-4-2023,18:00:00 a 23:59:59,458605041.0
424, 8-4-2023,00:00:00 a 06:00:00,305966976.8333333
425, 8-4-2023,06:00:00 a 12:00:00,152804393.66666666
426, 8-4-2023,12:00:00 a 18:00:00,152804393.66666666
427, 8-4-2023,18:00:00 a 23:59:59,918397907.0
428, 9-4-2023,00:00:00 a 06:00:00,919521750.5
429, 9-4-2023,06:00:00 a 12:00:00,306319942.25
430, 9-4-2023,12:00:00 a 18:00:00,919281661.0
431, 9-4-2023,18:00:00 a 23:59:59,920755874.0
432, 10-4-2023,00:00:00 a 06:00:00,919550424.0
433, 10-4-2023,06:00:00 a 12:00:00,613184951.25
